time,lon,lat
1473968310,-55.3368,54.0274
1473969034,-55.3361,54.0292
1473969884,-55.3361,54.0311
1473970583,-55.3350,54.0326
1473971409,-55.3343,54.0344
1473972139,-55.3330,54.0359
1473972949,-55.3325,54.0377
1473973644,-55.3308,54.0391
1473974482,-55.3293,54.0406
1473975207,-55.3276,54.0421
1473976988,-55.3277,54.0451
1473977727,-55.3256,54.0466
1473978580,-55.3234,54.0484
1473979284,-55.3211,54.0498
1473980182,-55.3183,54.0516
1473980940,-55.3158,54.0531
1473981807,-55.3129,54.0548
1473982538,-55.3104,54.0563
1473983435,-55.3074,54.0578
1473984174,-55.3048,54.0592
1473984989,-55.3020,54.0605
1473985708,-55.2994,54.0618
1473986584,-55.2963,54.0631
1473987312,-55.2939,54.0644
1473988180,-55.2908,54.0658
1473988928,-55.2883,54.0670
1473989721,-55.2853,54.0684
1473990419,-55.2830,54.0694
1473991172,-55.2807,54.0705
1473991910,-55.2784,54.0716
1473992718,-55.2758,54.0727
1473993483,-55.2734,54.0738
1473994363,-55.2712,54.0751
1473995116,-55.2693,54.0763
1473995934,-55.2670,54.0775
1473996657,-55.2652,54.0787
1473997471,-55.2626,54.0800
1473998203,-55.2610,54.0811
1473999383,-55.2591,54.0822
1474000128,-55.2575,54.0833
1474000979,-55.2556,54.0846
1474001713,-55.2542,54.0858
1474002538,-55.2526,54.0873
1474003293,-55.2512,54.0886
1474004120,-55.2497,54.0901
1474004867,-55.2483,54.0915
1474005753,-55.2469,54.0931
1474006514,-55.2456,54.0945
1474007349,-55.2441,54.0960
1474008122,-55.2426,54.0975
1474008996,-55.2412,54.0992
1474009765,-55.2395,54.1007
1474010562,-55.2379,54.1023
1474011348,-55.2362,54.1038
1474012329,-55.2348,54.1056
1474013090,-55.2332,54.1072
1474013941,-55.2314,54.1089
1474014736,-55.2292,54.1104
1474015591,-55.2269,54.1119
1474016393,-55.2245,54.1133
1474017284,-55.2217,54.1150
1474018089,-55.2190,54.1162
1474018935,-55.2145,54.1174
1474019716,-55.2126,54.1187
1474021008,-55.2097,54.1207
1474021803,-55.2069,54.1216
1474022645,-55.2037,54.1227
1474023417,-55.2003,54.1236
1474024352,-55.1963,54.1247
1474025178,-55.1924,54.1257
1474026117,-55.1882,54.1267
1474026884,-55.1845,54.1274
1474027759,-55.1803,54.1281
1474028529,-55.1763,54.1288
1474029415,-55.1719,54.1295
1474030206,-55.1680,54.1300
1474031136,-55.1636,54.1305
1474031924,-55.1596,54.1309
1474032787,-55.1553,54.1312
1474033596,-55.1513,54.1315
1474034517,-55.1466,54.1316
1474035300,-55.1429,54.1316
1474036196,-55.1386,54.1316
1474036993,-55.1350,54.1318
1474037876,-55.1314,54.1318
1474038715,-55.1277,54.1320
1474039596,-55.1238,54.1320
1474040376,-55.1209,54.1322
1474041020,-55.1182,54.1320
1474041416,-55.1164,54.1319
1474043183,-55.1101,54.1288
1474044003,-55.1088,54.1291
1474044957,-55.1071,54.1291
1474045780,-55.1057,54.1297
1474046708,-55.1038,54.1300
1474047549,-55.1031,54.1308
1474048456,-55.1023,54.1314
1474049259,-55.1015,54.1322
1474050239,-55.1011,54.1328
1474051076,-55.1007,54.1340
1474052059,-55.1005,54.1349
1474052908,-55.1001,54.1361
1474053802,-55.0999,54.1375
1474054631,-55.0997,54.1390
1474055531,-55.0997,54.1405
1474056341,-55.0996,54.1421
1474057244,-55.0995,54.1440
1474058043,-55.0993,54.1456
1474058982,-55.0992,54.1473
1474059779,-55.0985,54.1490
1474060690,-55.0977,54.1506
1474061497,-55.0967,54.1523
1474062395,-55.0956,54.1543
1474063217,-55.0946,54.1561
1474063883,-55.0948,54.1575
1474064370,-55.0947,54.1588
1474066187,-55.0951,54.1621
1474067013,-55.0925,54.1626
1474067930,-55.0894,54.1630
1474068770,-55.0861,54.1635
1474069715,-55.0826,54.1639
1474070583,-55.0789,54.1641
1474071450,-55.0749,54.1643
1474072247,-55.0707,54.1644
1474073150,-55.0660,54.1645
1474073960,-55.0619,54.1645
1474074814,-55.0578,54.1642
1474075583,-55.0534,54.1643
1474076515,-55.0487,54.1642
1474077321,-55.0447,54.1640
1474078276,-55.0405,54.1638
1474079110,-55.0366,54.1637
1474080050,-55.0326,54.1634
1474080893,-55.0288,54.1633
1474081806,-55.0252,54.1634
1474082596,-55.0221,54.1636
1474083450,-55.0188,54.1637
1474084284,-55.0156,54.1639
1474085157,-55.0109,54.1638
1474085976,-55.0088,54.1644
1474086786,-55.0068,54.1648
1474087413,-55.0046,54.1650
1474088661,-55.0017,54.1654
1474089503,-54.9998,54.1658
1474090396,-54.9984,54.1664
1474091188,-54.9965,54.1668
1474092161,-54.9944,54.1672
1474093058,-54.9927,54.1681
1474094016,-54.9908,54.1691
1474094866,-54.9895,54.1701
1474095796,-54.9879,54.1714
1474096650,-54.9864,54.1727
1474097612,-54.9847,54.1737
1474098452,-54.9835,54.1749
1474099434,-54.9819,54.1762
1474100289,-54.9802,54.1775
1474101267,-54.9783,54.1789
1474102150,-54.9765,54.1805
1474103040,-54.9746,54.1820
1474103881,-54.9728,54.1834
1474104860,-54.9708,54.1847
1474105694,-54.9684,54.1861
1474106622,-54.9660,54.1873
1474107451,-54.9629,54.1887
1474108317,-54.9602,54.1894
1474109064,-54.9574,54.1903
1474110384,-54.9539,54.1893
1474111284,-54.9500,54.1901
1474112205,-54.9457,54.1905
1474113080,-54.9415,54.1916
1474114051,-54.9369,54.1921
1474114929,-54.9319,54.1929
1474115891,-54.9270,54.1931
1474116731,-54.9219,54.1936
