time,lat,lon,log,battery,u,v,wptLat,wptLon
Sat Dec  7 21:13:44 2019 MT,50.881400000000006,-47.65773333333334,0266.0013,98.1812025242233,0.0368209052400073,-0.0718024945864944,56.22328333333333,-47.64573333333333
Sun Dec  8 07:16:20 2019 MT,50.950066666666665,-47.60276666666667,0266.0015,98.0476369848178,0.0592546620488076,-0.0892191937905631,56.22328333333333,-47.64573333333333
Sun Dec  8 16:31:19 2019 MT,51.01483333333334,-47.56365000000001,0266.0016,97.9473214366931,0.0639650249541251,-0.0862004960846582,56.22328333333333,-47.64573333333333
Mon Dec  9 01:55:43 2019 MT,51.08368333333333,-47.56426666666667,0266.0017,97.8451965413248,0.0229109015715128,-0.0608750094796502,56.22328333333333,-47.64573333333333
Mon Dec  9 10:26:10 2019 MT,51.15765,-47.54918333333333,0266.0018,97.7434107907086,0.00689494254624476,-0.0255890036094619,56.22328333333333,-47.64573333333333
Mon Dec  9 19:36:20 2019 MT,51.240966666666665,-47.52911666666667,0266.0019,97.6434346598144,0.0255093030084824,-0.014228367156592,56.22328333333333,-47.64573333333333
Tue Dec 10 05:21:13 2019 MT,51.31701666666667,-47.497933333333336,0267.0000,97.5363334010369,0.0180845254734681,-0.0422130231814932,56.22328333333333,-47.64573333333333
Tue Dec 10 14:35:57 2019 MT,51.3907,-47.48526666666666,0267.0001,97.4363572701426,0.0146261346561583,-0.0451312174178011,56.22328333333333,-47.64573333333333
Tue Dec 10 23:09:06 2019 MT,51.46281666666667,-47.450916666666664,0267.0002,97.3347978582309,0.0504173659858234,-0.0520139233139241,56.22328333333333,-47.64573333333333
Wed Dec 11 08:27:33 2019 MT,51.53058333333334,-47.40606666666667,0267.0003,97.2345953886322,0.0605805853639608,-0.0832480737926436,56.22328333333333,-47.64573333333333
Thu Dec 12 02:23:06 2019 MT,51.649483333333336,-47.31511666666667,0267.0005,97.0295535940824,0.125981689736111,-0.145837632580504,56.22328333333333,-47.64573333333333
Thu Dec 12 07:08:15 2019 MT,51.68143333333334,-47.305016666666674,0267.0006,96.9714226940173,0.0740398746358159,-0.0964422744257598,56.22328333333333,-47.64573333333333
Thu Dec 12 16:38:24 2019 MT,51.74603333333334,-47.25518333333333,0267.0007,96.8703155962099,0.0931096497930337,-0.100938891818002,56.22328333333333,-47.64573333333333
Fri Dec 13 02:10:51 2019 MT,51.81596666666666,-47.199866666666665,0267.0008,96.7685298455937,0.133612564075777,-0.094217637703975,56.22328333333333,-47.64573333333333
