Time,Lat,Long,TTFF,Count,Commands,TxTries,ONT,I,V,Temperature,AirmarAirTemp,AirmarWindDirection,AirmarWindSpeed,AirmarWindGust,AirmarHeading,AirmarAirFix,MOSE_OnMin,Hs,Ts,T0,Hmax,Err,
2020-03-05 07:30:00,47.85624,-52.72617,26,44,0,1,1220,0.018,13.2,1,-0.4,0,15,15,271,0,10,1.9,6.5,4.5,2.9,0,
2020-03-05 08:00:00,47.84823,-52.70442,42,45,0,1,1240,0.018,13.2,1,-0.3,0,19,19,159,0,10,2.4,6.75,5.5,3.5,4,
2020-03-05 08:30:00,47.83596,-52.6755,26,46,0,2,1220,0.018,13.2,0,-0.4,0,11,11,157,0,10,2.7,7.5,5.75,3.6,5,
2020-03-05 09:00:00,47.82249,-52.64418,26,47,0,2,1220,0.018,13.2,0,-0.4,0,15,15,149,0,10,2.3,7.25,5,3.1,0,
2020-03-05 09:30:00,47.81022,-52.61319,26,48,0,1,1220,0.018,13.2,0,-0.5,0,14,14,151,0,10,2.5,7.25,5.5,4.1,0,
2020-03-05 10:00:00,47.79678,-52.58355,42,49,0,1,1240,0.018,13.2,1,-0.6,0,12,12,147,0,10,2.5,7.25,5.75,3.3,0,
2020-03-05 10:30:00,47.78328,-52.55565,26,50,0,1,1220,0.018,13.2,0,-0.6,0,13,13,150,0,10,2.8,8,6.25,4.1,0,
2020-03-05 11:00:00,47.77044,-52.52868,26,51,0,1,1220,0.018,13.3,0,-0.5,0,10,10,145,0,10,3.4,8.75,7,4.2,0,
2020-03-05 11:30:00,47.76093,-52.50063,26,52,0,1,1230,0.018,13.6,0,-0.4,0,12,12,137,0,10,3.3,9,6.5,4.1,0,
2020-03-05 12:00:00,47.75133,-52.47375,26,53,0,1,1230,0.018,13.5,0,-0.7,0,12,12,155,0,10,3.4,10,6.25,4.1,2,
2020-03-05 12:30:00,47.73885,-52.44951,26,54,0,1,1230,0.018,13.5,0,-0.8,0,16,16,159,0,10,4.1,11.5,8.75,6.1,6,
2020-03-05 13:00:00,47.72424,-52.43145,28,55,0,1,1230,0.018,13.5,1,-0.8,0,14,14,158,0,10,3.5,7.75,5.75,6.2,0,
2020-03-05 13:30:00,47.70987,-52.41288,42,56,0,1,1240,0.018,13.5,0,-0.8,0,12,12,161,0,10,3.6,9.5,6,4.7,2,
2020-03-05 14:00:00,47.69574,-52.3947,26,57,0,1,1230,0.018,13.5,0,-0.8,0,11,11,156,0,10,3.8,8,5.5,6.2,0,
2020-03-05 14:30:00,47.68398,-52.37217,26,58,0,1,1230,0.018,13.5,0,-0.8,0,13,13,138,0,10,3.2,7,6,4.2,3,
