time,lon,lat
1565711221,-58.4668,49.6474
1565712327,-58.4651,49.6451
1565713304,-58.4633,49.6445
1565714694,-58.4595,49.6430
1565715895,-58.4562,49.6410
1565717074,-58.4530,49.6391
1565718243,-58.4498,49.6372
1565719336,-58.4468,49.6355
1565720405,-58.4439,49.6338
1565721517,-58.4409,49.6320
1565722637,-58.4378,49.6302
1565723693,-58.4349,49.6285
1565724766,-58.4320,49.6267
1565725824,-58.4291,49.6250
1565726870,-58.4262,49.6233
1565728939,-58.4196,49.6236
1565730215,-58.4149,49.6242
1565731214,-58.4105,49.6248
1565732223,-58.4060,49.6254
1565733163,-58.4018,49.6259
1565734216,-58.3972,49.6265
1565735257,-58.3926,49.6271
1565736261,-58.3881,49.6276
1565737287,-58.3836,49.6282
1565738348,-58.3789,49.6288
1565739364,-58.3744,49.6294
1565740375,-58.3700,49.6299
1565741421,-58.3653,49.6305
1565742419,-58.3609,49.6311
1565743911,-58.3563,49.6318
1565745232,-58.3534,49.6309
1565746289,-58.3501,49.6302
1565747311,-58.3469,49.6294
1565748321,-58.3438,49.6286
1565749355,-58.3406,49.6279
1565750338,-58.3375,49.6271
1565751337,-58.3344,49.6264
1565752376,-58.3312,49.6256
1565753408,-58.3280,49.6249
1565754667,-58.3285,49.6260
1565755842,-58.3264,49.6256
1565756821,-58.3239,49.6249
1565758210,-58.3216,49.6247
1565759447,-58.3187,49.6248
1565760479,-58.3158,49.6248
1565761462,-58.3131,49.6247
1565762458,-58.3103,49.6247
1565763434,-58.3076,49.6246
1565764390,-58.3049,49.6245
1565765354,-58.3022,49.6245
1565766274,-58.2996,49.6244
1565767160,-58.2971,49.6244
1565768381,-58.2942,49.6250
1565769452,-58.2923,49.6247
1565770358,-58.2906,49.6240
1565771271,-58.2889,49.6233
1565772068,-58.2875,49.6227
1565772533,-58.2867,49.6231
1565773885,-58.2845,49.6245
1565774600,-58.2832,49.6246
1565775282,-58.2820,49.6246
1565775915,-58.2808,49.6247
1565776986,-58.2789,49.6248
1565777525,-58.2779,49.6248
1565777986,-58.2770,49.6249
1565778500,-58.2761,49.6249
1565778906,-58.2754,49.6250
1565779364,-58.2745,49.6250
1565779766,-58.2738,49.6250
1565780194,-58.2730,49.6251
1565780632,-58.2722,49.6251
1565781034,-58.2715,49.6252
1565781401,-58.2708,49.6252
1565781797,-58.2701,49.6252
1565782181,-58.2694,49.6253
1565782575,-58.2687,49.6253
1565782971,-58.2680,49.6253
1565783354,-58.2673,49.6254
1565783737,-58.2666,49.6254
1565784145,-58.2658,49.6255
1565784519,-58.2652,49.6255
1565784893,-58.2645,49.6255
1565785274,-58.2638,49.6256
1565785643,-58.2631,49.6256
1565786051,-58.2624,49.6256
1565786406,-58.2617,49.6257
1565787052,-58.2619,49.6260
1565787627,-58.2625,49.6262
1565788043,-58.2629,49.6260
1565788444,-58.2633,49.6258
1565788793,-58.2636,49.6256
1565789567,-58.2644,49.6252
1565789949,-58.2648,49.6250
1565790331,-58.2652,49.6248
1565790734,-58.2656,49.6246
1565790764,-58.2656,49.6246
1565791121,-58.2660,49.6244
1565791513,-58.2663,49.6242
1565791941,-58.2668,49.6240
1565792322,-58.2671,49.6238
1565792727,-58.2675,49.6236
1565793160,-58.2680,49.6234
1565793558,-58.2684,49.6232
1565793926,-58.2687,49.6230
1565794350,-58.2691,49.6228
1565794744,-58.2695,49.6226
1565795107,-58.2699,49.6224
1565795538,-58.2703,49.6221
1565795904,-58.2707,49.6219
1565796312,-58.2711,49.6217
1565796718,-58.2715,49.6215
1565797105,-58.2719,49.6213
1565797509,-58.2723,49.6211
1565797923,-58.2727,49.6209
1565798334,-58.2731,49.6207
1565798777,-58.2735,49.6205
1565799148,-58.2739,49.6203
1565799586,-58.2743,49.6200
1565799950,-58.2747,49.6198
1565800345,-58.2751,49.6196
1565800776,-58.2755,49.6194
1565801778,-58.2780,49.6203
1565802436,-58.2779,49.6203
1565802935,-58.2772,49.6199
1565803339,-58.2766,49.6195
1565803755,-58.2760,49.6191
1565804184,-58.2754,49.6187
1565804556,-58.2748,49.6184
1565804943,-58.2743,49.6180
1565805328,-58.2737,49.6177
1565805701,-58.2732,49.6174
1565806063,-58.2727,49.6170
1565806416,-58.2722,49.6167
1565806786,-58.2717,49.6164
1565807144,-58.2711,49.6160
1565807502,-58.2706,49.6157
1565807859,-58.2701,49.6154
1565808234,-58.2696,49.6151
1565808599,-58.2691,49.6147
1565808969,-58.2685,49.6144
1565809318,-58.2680,49.6141
1565809679,-58.2675,49.6137
1565810029,-58.2670,49.6134
1565810399,-58.2665,49.6131
1565810749,-58.2660,49.6128
1565811118,-58.2655,49.6124
1565811472,-58.2650,49.6121
1565811838,-58.2644,49.6118
1565812188,-58.2639,49.6115
1565812562,-58.2634,49.6111
1565812915,-58.2629,49.6108
1565813285,-58.2624,49.6105
1565813648,-58.2618,49.6101
1565814042,-58.2613,49.6098
1565814376,-58.2608,49.6095
1565814758,-58.2603,49.6091
1565815172,-58.2597,49.6088
1565815554,-58.2591,49.6084
1565815940,-58.2586,49.6081
1565816756,-58.2579,49.6081
1565817296,-58.2561,49.6081
1565817724,-58.2542,49.6081
1565818102,-58.2526,49.6082
1565818453,-58.2510,49.6082
1565818872,-58.2492,49.6082
1565819224,-58.2476,49.6083
1565819622,-58.2459,49.6083
1565820029,-58.2441,49.6083
1565820468,-58.2422,49.6083
1565820840,-58.2405,49.6084
1565821279,-58.2386,49.6084
1565821663,-58.2369,49.6084
1565822099,-58.2350,49.6085
1565822535,-58.2331,49.6085
1565823000,-58.2310,49.6085
1565823400,-58.2293,49.6086
1565823859,-58.2272,49.6086
1565824285,-58.2254,49.6086
1565824709,-58.2235,49.6086
1565825109,-58.2217,49.6087
1565825533,-58.2199,49.6087
1565825966,-58.2180,49.6087
1565826428,-58.2159,49.6088
1565826930,-58.2137,49.6088
1565827398,-58.2117,49.6088
1565827888,-58.2095,49.6089
1565828376,-58.2074,49.6089
1565828891,-58.2051,49.6089
1565829424,-58.2027,49.6090
1565829944,-58.2005,49.6090
1565830495,-58.1980,49.6091
1565831061,-58.1961,49.6095
1565831760,-58.1944,49.6093
1565832372,-58.1928,49.6087
1565832920,-58.1914,49.6083
1565833467,-58.1900,49.6078
1565833978,-58.1887,49.6074
1565834580,-58.1872,49.6069
1565835187,-58.1856,49.6063
1565835782,-58.1841,49.6058
1565836345,-58.1826,49.6053
1565836879,-58.1813,49.6049
1565837475,-58.1798,49.6044
1565838072,-58.1782,49.6039
1565838741,-58.1765,49.6033
1565839416,-58.1748,49.6027
1565840119,-58.1730,49.6021
1565840839,-58.1711,49.6015
1565841673,-58.1690,49.6008
1565842516,-58.1669,49.6001
1565843308,-58.1648,49.5994
1565844148,-58.1627,49.5987
1565844932,-58.1607,49.5980
1565845423,-58.1594,49.5982
1565846796,-58.1552,49.5979
1565847635,-58.1525,49.5974
1565848466,-58.1497,49.5970
1565849298,-58.1469,49.5965
1565850105,-58.1442,49.5961
1565850994,-58.1413,49.5956
1565851809,-58.1386,49.5951
1565852636,-58.1358,49.5947
1565853485,-58.1330,49.5942
1565854359,-58.1301,49.5938
1565855094,-58.1285,49.5937
1565856226,-58.1245,49.5933
1565857244,-58.1203,49.5927
1565858239,-58.1162,49.5922
1565859237,-58.1121,49.5916
1565859927,-58.1103,49.5916
1565861149,-58.1051,49.5911
1565862273,-58.1001,49.5905
1565863382,-58.0951,49.5898
1565864575,-58.0898,49.5890
1565865765,-58.0845,49.5883
1565866916,-58.0793,49.5876
1565868072,-58.0742,49.5869
1565869228,-58.0690,49.5862
1565870389,-58.0639,49.5854
1565871502,-58.0589,49.5848
1565872641,-58.0538,49.5841
1565874382,-58.0481,49.5840
1565875827,-58.0433,49.5835
1565877034,-58.0387,49.5828
1565878275,-58.0340,49.5820
1565879467,-58.0295,49.5813
1565880672,-58.0250,49.5806
1565881886,-58.0204,49.5798
1565883265,-58.0152,49.5790
1565884680,-58.0098,49.5781
1565886128,-58.0044,49.5772
1565887028,-58.0016,49.5769
1565889294,-57.9960,49.5754
1565891161,-57.9889,49.5740
1565892821,-57.9824,49.5726
1565894583,-57.9755,49.5711
1565896377,-57.9685,49.5696
1565898161,-57.9615,49.5681
1565899902,-57.9546,49.5667
1565901561,-57.9481,49.5653
1565903313,-57.9413,49.5638
