time,lat,lon,TTFF,Count,Commands,TxTries,ONT,I,V,Temperature,AirmarAirTemp,AirmarWindDirection,AirmarWindSpeed,AirmarWindGust,AirmarHeading,AirmarAirFix,MOSE_OnMin,Hs,Ts,T0,Hmax,Err,Unnamed: 23
20200305_013000,47.82465,-52.84632,26.0,32,0,1,1220,0.018000000000000002,13.2,1,0.4,0.0,54.0,54.0,173.0,0.0,10.0,1.7,7.5,5.5,2.6,0.0
20200305_020000,47.83278,-52.84059,26.0,33,0,1,1220,0.018000000000000002,13.2,1,0.3,0.0,12.0,12.0,157.0,0.0,10.0,1.7,7.0,5.5,2.6,1.0
20200305_023000,47.83644,-52.8312,26.0,34,0,1,1220,0.018000000000000002,13.2,1,0.0,0.0,10.0,10.0,152.0,0.0,10.0,1.6,5.5,5.0,2.1,0.0
20200305_030000,47.8371,-52.816469999999995,42.0,35,0,2,1240,0.018000000000000002,13.2,1,0.0,0.0,16.0,16.0,313.0,0.0,10.0,1.6,5.0,4.0,2.7,0.0
20200305_033000,47.84403,-52.81389,26.0,36,0,1,1220,0.018000000000000002,13.2,1,-0.1,0.0,14.0,14.0,142.0,0.0,10.0,1.5,5.75,4.0,2.3,0.0
20200305_040000,47.84574,-52.80027,26.0,37,0,1,1220,0.018000000000000002,13.2,1,0.0,0.0,15.0,15.0,309.0,0.0,10.0,1.9,6.0,4.75,2.7,0.0
20200305_043000,47.8503,-52.79841,26.0,38,0,1,1220,0.018000000000000002,13.2,1,-0.2,0.0,11.0,11.0,288.0,0.0,10.0,1.9,7.25,4.75,3.0,1.0
20200305_050000,47.85378,-52.794180000000004,43.0,39,0,1,1240,0.018000000000000002,13.2,1,-0.3,0.0,13.0,13.0,312.0,0.0,10.0,1.7,5.5,4.75,2.1,2.0
20200305_053000,47.85804,-52.788180000000004,26.0,40,0,1,1220,0.018000000000000002,13.2,1,-0.4,0.0,12.0,12.0,132.0,0.0,10.0,1.5,6.0,4.5,2.0,0.0
20200305_060000,47.85723,-52.77225,26.0,41,0,1,1220,0.018000000000000002,13.2,1,-0.3,0.0,10.0,10.0,154.0,0.0,10.0,1.6,6.25,5.0,2.5,0.0
20200305_063000,47.85456,-52.7553,26.0,42,0,1,1220,0.018000000000000002,13.2,0,-0.2,0.0,12.0,12.0,347.0,0.0,10.0,2.2,6.0,5.0,2.9,0.0
20200305_070000,47.85765,-52.740840000000006,26.0,43,0,1,1220,0.018000000000000002,13.2,0,-0.2,0.0,13.0,13.0,151.0,0.0,10.0,2.1,6.0,4.75,2.7,0.0
20200305_073000,47.85624,-52.726169999999996,26.0,44,0,1,1220,0.018000000000000002,13.2,1,-0.4,0.0,15.0,15.0,271.0,0.0,10.0,1.9,6.5,4.5,2.9,0.0
20200305_080000,47.84823,-52.70441999999999,42.0,45,0,1,1240,0.018000000000000002,13.2,1,-0.3,0.0,19.0,19.0,159.0,0.0,10.0,2.4,6.75,5.5,3.5,4.0
20200305_083000,47.83596,-52.6755,26.0,46,0,2,1220,0.018000000000000002,13.2,0,-0.4,0.0,11.0,11.0,157.0,0.0,10.0,2.7,7.5,5.75,3.6,5.0
20200305_090000,47.82249,-52.644180000000006,26.0,47,0,2,1220,0.018000000000000002,13.2,0,-0.4,0.0,15.0,15.0,149.0,0.0,10.0,2.3,7.25,5.0,3.1,0.0
20200305_093000,47.81022,-52.61319,26.0,48,0,1,1220,0.018000000000000002,13.2,0,-0.5,0.0,14.0,14.0,151.0,0.0,10.0,2.5,7.25,5.5,4.1,0.0
20200305_100000,47.79678,-52.58355,42.0,49,0,1,1240,0.018000000000000002,13.2,1,-0.6,0.0,12.0,12.0,147.0,0.0,10.0,2.5,7.25,5.75,3.3,0.0
20200305_103000,47.78328,-52.55565,26.0,50,0,1,1220,0.018000000000000002,13.2,0,-0.6,0.0,13.0,13.0,150.0,0.0,10.0,2.8,8.0,6.25,4.1,0.0
20200305_110000,47.77044,-52.52868,26.0,51,0,1,1220,0.018000000000000002,13.3,0,-0.5,0.0,10.0,10.0,145.0,0.0,10.0,3.4,8.75,7.0,4.2,0.0
20200305_113000,47.76093,-52.50063000000001,26.0,52,0,1,1230,0.018000000000000002,13.6,0,-0.4,0.0,12.0,12.0,137.0,0.0,10.0,3.3,9.0,6.5,4.1,0.0
20200305_120000,47.751329999999996,-52.47375,26.0,53,0,1,1230,0.018000000000000002,13.5,0,-0.7,0.0,12.0,12.0,155.0,0.0,10.0,3.4,10.0,6.25,4.1,2.0
20200305_123000,47.73885,-52.44951,26.0,54,0,1,1230,0.018000000000000002,13.5,0,-0.8,0.0,16.0,16.0,159.0,0.0,10.0,4.1,11.5,8.75,6.1,6.0
20200305_130000,47.72424,-52.43145,28.0,55,0,1,1230,0.018000000000000002,13.5,1,-0.8,0.0,14.0,14.0,158.0,0.0,10.0,3.5,7.75,5.75,6.2,0.0
20200305_133000,47.70987,-52.41288,42.0,56,0,1,1240,0.018000000000000002,13.5,0,-0.8,0.0,12.0,12.0,161.0,0.0,10.0,3.6,9.5,6.0,4.7,2.0
20200305_140000,47.69574,-52.3947,26.0,57,0,1,1230,0.018000000000000002,13.5,0,-0.8,0.0,11.0,11.0,156.0,0.0,10.0,3.8,8.0,5.5,6.2,0.0
20200305_143000,47.68398,-52.372170000000004,26.0,58,0,1,1230,0.018000000000000002,13.5,0,-0.8,0.0,13.0,13.0,138.0,0.0,10.0,3.2,7.0,6.0,4.2,3.0
