time,lat,lon,TTFF,Count,Commands,TxTries,ONT,I,V,Temperature,CTTemp,CTCond,O2Con,O2Air,O2Temp,AirPressure,AirTemp,WindDirection,WindSpeed,WindGust,Heading,AirFix,Unnamed: 23
20191204_082551,50.176140000000004,-48.470909999999996,20,0,0,0,250,0.024,13.3,8,7.027,,270.1,91.0,7.79,993.9,6.4,160,8,10,360,1
20191204_090000,50.1978,-48.41568,12,3,0,1,210,0.022000000000000002,13.2,8,7.377000000000001,,271.4,90.5,7.32,989.9,5.8,240,13,16,255,1
20191204_093000,50.2407,-48.30462,12,6,0,1,200,0.02,13.2,8,7.746,,269.4,90.5,7.57,990.2,6.2,245,10,12,255,1
20191204_094559,50.263740000000006,-48.2445,12,0,0,0,250,0.024,13.2,9,8.015,,268.1,90.5,7.76,987.8,6.5,245,11,14,256,1
20191204_103000,50.33043,-48.07815,13,2,0,1,120,0.022000000000000002,13.3,8,8.308,,265.4,90.5,8.17,990.4,6.7,225,13,30,254,1
20191204_114110,50.36307,-47.95725,11,0,0,0,350,0.024,13.3,9,8.62,,263.1,90.5,8.59,988.1,6.7,205,13,13,358,1
20191204_123000,50.3712,-47.989740000000005,12,2,0,1,350,0.02,13.3,8,6.723,34.02,277.8,91.5,6.74,986.8,6.2,200,10,13,266,1
20191204_133000,50.37213,-47.986290000000004,11,4,0,1,240,0.02,13.5,7,6.694,34.02,277.7,91.5,6.71,986.7,5.7,175,14,19,145,1
20191204_143000,50.36994,-47.96934,11,6,0,1,250,0.02,13.6,7,6.778,34.07,276.6,91.5,6.79,984.4,5.4,200,11,14,278,1
20191204_153000,50.37093,-47.97753,12,8,0,1,250,0.02,13.8,8,6.617000000000001,33.96,277.3,91.0,6.63,982.7,5.3,195,8,11,291,1
20191204_163000,50.37489,-48.030120000000004,12,10,0,1,350,0.02,13.9,7,6.269,33.68,280.7,91.5,6.28,986.4,5.3,0,11,11,272,0
20191204_173000,50.3679,-47.97867,37,12,0,1,380,0.02,14.0,7,6.336,33.73,279.7,91.5,6.35,986.9,5.5,0,9,9,21,0
20191204_183000,50.36712,-48.01344,12,14,0,1,240,0.02,13.8,7,6.265,33.67,282.0,92.0,6.28,987.2,5.8,205,11,13,310,1
20191204_193000,50.35752,-47.96199,13,16,0,1,350,0.02,13.7,7,6.5729999999999995,33.91,278.4,91.5,6.59,985.1,5.5,215,14,19,106,1
20191204_203000,50.36697,-48.02241,12,18,0,1,290,0.02,13.5,7,6.348,33.73,281.3,92.0,6.36,982.5,4.9,205,13,16,0,1
20191204_213000,50.35761,-47.978970000000004,13,20,0,2,270,0.02,13.4,7,6.407,33.77,280.9,92.0,6.42,984.4,5.1,205,12,15,153,1
20191204_223000,50.37429,-48.026759999999996,13,22,0,1,300,0.02,13.4,7,6.454,33.81,279.3,91.5,6.47,982.7,4.7,220,13,16,295,1
20191204_233000,50.38089,-48.03825,12,24,0,1,350,0.02,13.3,7,6.474,33.83,279.3,91.5,6.49,982.5,4.3,0,24,24,294,0
20191205_003000,50.40663,-48.09726,41,26,0,1,380,0.02,13.3,7,5.412999999999999,32.91,286.3,91.5,5.43,981.2,3.8,0,11,11,299,0
20191205_013000,50.43084,-48.14472,12,28,0,1,280,0.022000000000000002,13.3,6,5.018,32.58,289.1,91.5,5.03,977.4,3.5,235,12,15,313,1
20191205_023000,50.45397,-48.1932,12,30,0,1,240,0.02,13.3,6,5.135,32.68,288.4,91.5,5.15,978.0,3.4,250,14,20,318,1
20191205_033000,50.48457,-48.238170000000004,13,32,0,1,350,0.02,13.3,5,4.849,32.39,291.7,92.0,4.86,975.2,3.2,260,8,16,334,1
20191205_043000,50.51337,-48.271440000000005,12,34,0,1,230,0.02,13.3,6,5.1,32.62,288.1,91.5,5.11,976.9,3.1,260,11,17,314,1
20191205_053000,50.54655,-48.30507,41,36,0,1,300,0.02,13.3,6,4.578,32.13,292.0,91.5,4.61,975.3,2.7,245,14,19,317,1
20191205_063000,50.57922,-48.32946,12,38,0,1,350,0.02,13.3,5,4.461,32.02,293.4,91.5,4.47,975.4,2.3,0,8,8,335,0
20191205_073000,50.61096,-48.351690000000005,12,40,0,2,240,0.02,13.3,5,4.309,31.87,294.1,91.5,4.32,972.7,1.9,260,11,14,327,1
