lon,lat,u,v,time
-50.13848170000001,53.3678317,0.0,0.0,20140705_111950
-50.138835,53.367458299999996,,,20140705_112030
-50.1388617,53.36742829999999,,,20140705_112030
-50.138876700000004,53.367411700000005,,,20140705_112040
-50.138905,53.36738670000001,,,20140705_112040
-50.138940000000005,53.367373300000004,,,20140705_112050
-50.13896,53.367346700000006,,,20140705_112050
-50.138925,53.3673283,,,20140705_112050
-50.1389117,53.36729329999999,,,20140705_112100
-50.1389717,53.367290000000004,,,20140705_112100
-50.139036700000005,53.36725500000001,,,20140705_112110
-50.1390533,53.36725,,,20140705_112120
-50.139061700000006,53.3672167,,,20140705_112120
-50.139083299999996,53.36720329999999,,,20140705_112130
-50.1391083,53.367175,,,20140705_112130
-50.1391367,53.3671583,,,20140705_112140
-50.139148299999995,53.367141700000005,,,20140705_112140
-50.139175,53.36711170000001,,,20140705_112150
-50.1391967,53.36708829999999,,,20140705_112150
-50.139213299999994,53.3670667,,,20140705_112150
-50.1392233,53.3670467,,,20140705_112200
-50.139245,53.3670167,,,20140705_112210
-50.139238299999995,53.36701329999999,,,20140705_112210
-50.1393283,53.36699,,,20140705_112220
-50.139305,53.366943299999996,,,20140705_112220
-50.13925,53.3669017,,,20140705_112230
-50.1391967,53.366859999999996,,,20140705_112230
-50.1391417,53.3668183,,,20140705_112240
-50.1390883,53.3667767,,,20140705_112240
-50.1390333,53.366735,,,20140705_112250
-50.1406817,53.366035,,,20140705_112730
-50.140738299999995,53.366003299999996,-0.69142,-0.22719299999999998,20140705_113620
-50.143425,53.3637567,,,20140705_113650
-50.14349,53.36371170000001,,,20140705_113700
-50.143505,53.363693299999994,,,20140705_113710
-50.14354829999999,53.3636783,,,20140705_113710
-50.1435633,53.363646700000004,,,20140705_113720
-50.1435717,53.363609999999994,,,20140705_113720
-50.1436167,53.36360500000001,,,20140705_113720
-50.143643299999994,53.363595,,,20140705_113730
-50.1436567,53.36357829999999,,,20140705_113740
-50.14367,53.36356,,,20140705_113740
-50.1436717,53.363535,,,20140705_113750
-50.143685,53.363518299999996,,,20140705_113750
-50.143688299999994,53.363513299999994,,,20140705_113800
-50.14373,53.363485,,,20140705_113800
-50.14374829999999,53.363459999999996,,,20140705_113810
-50.1438167,53.363465000000005,,,20140705_113810
-50.14385,53.363440000000004,,,20140705_113810
-50.14384329999999,53.363428299999995,,,20140705_113820
-50.143866700000004,53.36339,,,20140705_113830
-50.1439417,53.363378299999994,,,20140705_113830
-50.1439683,53.363361700000006,,,20140705_113840
-50.1439167,53.363298300000004,,,20140705_113840
-50.143781700000005,53.3632083,,,20140705_113850
-50.143645,53.363119999999995,,,20140705_113850
-50.14351,53.36303,,,20140705_113900
-50.14337329999999,53.36294,,,20140705_113900
-50.1432383,53.36285,,,20140705_113900
-50.1763617,53.37546329999999,,,20140705_132800
-50.1764,53.3754533,,,20140705_132800
-50.1764333,53.3754583,,,20140705_132810
-50.17654829999999,53.37543170000001,-0.191273,0.026417400000000004,20140705_133610
-50.1805883,53.374545,,,20140705_133650
-50.18062329999999,53.37454,,,20140705_133650
-50.180665000000005,53.37452170000001,,,20140705_133700
-50.180704999999996,53.374515,,,20140705_133700
-50.1807583,53.37450329999999,,,20140705_133710
-50.1807517,53.374508299999995,,,20140705_133710
-50.180848299999994,53.3744583,,,20140705_133720
-50.18095170000001,53.374396700000005,,,20140705_133720
-50.180890000000005,53.374469999999995,,,20140705_133730
-50.1809733,53.374443299999996,,,20140705_133730
-50.181026700000004,53.37439499999999,,,20140705_133730
-50.18108,53.374346700000004,,,20140705_133740
-50.1811333,53.3743,,,20140705_133740
-50.1811,53.374430000000004,,,20140705_133750
-50.18115,53.3744267,,,20140705_133800
-50.181186700000005,53.3744267,,,20140705_133800
-50.181235,53.374390000000005,,,20140705_133810
-50.1812967,53.37435670000001,,,20140705_133810
-50.18135170000001,53.37436999999999,,,20140705_133820
-50.181348299999996,53.374371700000005,,,20140705_133820
-50.181388299999995,53.37436999999999,,,20140705_133830
-50.1814333,53.37435670000001,,,20140705_133830
-50.181455,53.3743483,,,20140705_133830
-50.1815583,53.37431170000001,,,20140705_133840
-50.181540000000005,53.374315,,,20140705_133850
-50.1815733,53.374334999999995,,,20140705_133850
-50.1818,53.3744667,,,20140705_133900
-50.1820917,53.3746317,,,20140705_133900
-50.182365000000004,53.374796700000005,,,20140705_133910
-50.18264,53.37496170000001,,,20140705_133910
-50.182913299999996,53.375125,,,20140705_133920
-50.1831883,53.37529,,,20140705_133920
-50.1834617,53.375455,,,20140705_133920
-50.2002417,53.40843829999999,,,20140705_163000
-50.200255,53.408441700000004,,,20140705_163010
-50.2002867,53.408441700000004,,,20140705_163010
-50.200308299999996,53.40846170000001,,,20140705_163010
-50.2003467,53.408469999999994,,,20140705_163020
-50.200368299999994,53.4084833,,,20140705_163020
-50.200393299999995,53.408488299999995,,,20140705_163030
-50.200425,53.408494999999995,,,20140705_163040
-50.200456700000004,53.408511700000005,,,20140705_163040
-50.200508299999996,53.408519999999996,,,20140705_163050
-50.20052329999999,53.408533299999995,,,20140705_163050
-50.200551700000005,53.408533299999995,,,20140705_163100
-50.2006317,53.408545,,,20140705_163100
-50.200661700000005,53.408558299999996,,,20140705_163110
-50.2067033,53.4108583,-0.161823,0.0653538,20140705_165100
-50.206733299999996,53.410876699999996,,,20140705_165110
-50.2067583,53.410881700000004,,,20140705_165110
-50.206775,53.410885,,,20140705_165120
-50.206793299999994,53.4108917,,,20140705_165120
-50.20676829999999,53.41096329999999,,,20140705_165120
-50.2068417,53.410940000000004,,,20140705_165130
-50.206855,53.410895,,,20140705_165130
-50.2068933,53.4109267,,,20140705_165140
