time,lat,lon,log,battery,u,v,wptLat,wptLon
20191208_071620,50.95006666666666,-47.60276666666667,0266.0015,98.04763698481779,0.0592546620488076,-0.0892191937905631,56.22328333333333,-47.64573333333333
20191208_163119,51.01483333333334,-47.56365000000001,0266.0016,97.9473214366931,0.0639650249541251,-0.0862004960846582,56.22328333333333,-47.64573333333333
20191209_015543,51.08368333333333,-47.56426666666667,0266.0017,97.84519654132481,0.0229109015715128,-0.0608750094796502,56.22328333333333,-47.64573333333333
20191209_102610,51.15765,-47.54918333333333,0266.0018,97.7434107907086,0.00689494254624476,-0.0255890036094619,56.22328333333333,-47.64573333333333
20191209_193620,51.24096666666666,-47.52911666666667,0266.0019,97.64343465981442,0.0255093030084824,-0.014228367156592,56.22328333333333,-47.64573333333333
20191210_052113,51.31701666666667,-47.49793333333334,0267.0000,97.53633340103691,0.0180845254734681,-0.0422130231814932,56.22328333333333,-47.64573333333333
20191210_143557,51.3907,-47.48526666666666,0267.0001,97.4363572701426,0.0146261346561583,-0.0451312174178011,56.22328333333333,-47.64573333333333
20191210_230906,51.46281666666667,-47.45091666666666,0267.0002,97.33479785823091,0.0504173659858234,-0.0520139233139241,56.22328333333333,-47.64573333333333
20191211_082733,51.53058333333334,-47.40606666666667,0267.0003,97.2345953886322,0.0605805853639608,-0.0832480737926436,56.22328333333333,-47.64573333333333
20191212_022306,51.64948333333334,-47.31511666666667,0267.0005,97.02955359408242,0.12598168973611099,-0.145837632580504,56.22328333333333,-47.64573333333333
20191212_070815,51.68143333333334,-47.30501666666667,0267.0006,96.97142269401729,0.0740398746358159,-0.0964422744257598,56.22328333333333,-47.64573333333333
20191212_163824,51.74603333333334,-47.25518333333333,0267.0007,96.8703155962099,0.0931096497930337,-0.100938891818002,56.22328333333333,-47.64573333333333
20191213_021051,51.81596666666666,-47.19986666666666,0267.0008,96.7685298455937,0.13361256407577699,-0.09421763770397501,56.22328333333333,-47.64573333333333
20191213_021529,51.81596666666666,-47.19986666666666,0267.0009,96.7661549240675,0.13361256407577699,-0.09421763770397501,56.22328333333333,-47.64573333333333
